SUBUSERNAME,LATITUDE,LONGITUDE, PROVIDER,TIME
6550507083828163,27.2065447416,78.0221913664,gps,1529454743825
6550507083828163,27.2065097715,78.0222705495,gps,1529480803336
6550507083828163,27.2064682686,78.0222072288,gps,1529688107000
6550507083828163,27.2065790377,78.0222896865,gps,1529758970015
6550507083828163,27.2062408395,78.0229561151,gps,1529759429029
6550507083828163,27.2157272854,77.9504879863,gps,1529813126045
6550507083828163,27.2065117922,78.0223100343,gps,1529776999632
6550507083828163,27.1927320682,78.0226985556,gps,1529821354019
6550507083828163,27.2065837059,78.0224168804,gps,1529842687124
6550507083828163,27.2048708231,78.0216858186,gps,1529845238535
6550507083828163,27.2065439989,78.0224418251,gps,1529846770196
6550507083828163,27.2065182842,78.022357177,gps,1529892384825
6550507083828163,27.2064503029,78.0222178707,gps,1529885755319
6550507083828163,27.2064003256,78.0222797339,gps,1529864996926
6550507083828163,27.2060794603,78.0227717315,gps,1529902890735
6550507083828163,27.206557294,78.0222142764,gps,1529991965848
6550507083828163,27.2064926452,78.0222668664,gps,1529946626767
6550507083828163,27.2066849861,78.0222490983,gps,1530032786829
6550507083828163,27.2065389392,78.0223617063,gps,1529983219212
6550507083828163,27.2066564896,78.0222003006,gps,1530025284305
6550507083828163,27.206586607,78.0223860035,gps,1530013202745
6550507083828163,27.2066732723,78.0223827626,gps,1529938439236
6550507083828163,27.2063575021,78.0220393,gps,1529973455053
6550507083828163,27.2066732723,78.0223827626,gps,1529938439236
6550507083828163,27.2064926452,78.0222668664,gps,1529946626767
6550507083828163,27.2063575021,78.0220393,gps,1529973455053
6550507083828163,27.2065389392,78.0223617063,gps,1529983219212
6550507083828163,27.2064187865,78.0222300801,gps,1530061864235
6550507083828163,27.2063334481,78.0218465362,gps,1529910466138
6550507083828163,27.2063577664,78.0223131181,gps,1529922117188
6550507083828163,27.206602601,78.0224525679,gps,1530079494364
6550507083828163,27.2063096127,78.0224020336,gps,1530207034939
6550507083828163,27.2065452875,78.0223241534,gps,1530160759391
6550507083828163,27.2048124,78.0216061,network,1530165836222
6550507083828163,27.2048124,78.0216061,network,1530187499037
